Standort,Plz,Ort,Straße,Aufstellungsort
Esso-Tankstelle,63654,Büdingen,An der Saline 13,
Esso-Tankstelle,64546,Mörfelden-Walldorf,Aschaffenburger Str. 1,Shop
Esso-Tankstelle,65199,Wiesbaden,Schönbergstraße 44 A,Shop
Esso-Tankstelle,65385,Rüdesheim,Geisenheimer Str. 62,Shop
Esso-Tankstelle,65439,Flörsheim,"BAB 66, Nordseite",Shop
Esso-Tankstelle,65439,Flörsheim,"BAB 66, Südseite",Shop
Esso-Tankstelle,65549,Limburg,Industriestr. 15,"Shop / Zusätzlich Werbewürfel auf Säule 2,5 m"
Esso-Tankstelle,68259,Mannheim,Feudenheimer Str. 60,Shop
Esso-Tankstelle,69181,Leimen ,Schwetzinger Str. 12,Shop
Esso-Tankstelle,70197,Stuttgart,Rotenwaldstr. 146,Shop
Esso-Tankstelle,70563,Stuttgart,Hauptstr. 136,Shop
Esso-Tankstelle,71636,Ludwigsburg,Schwieberdinger Str. 133,Shop
Esso-Tankstelle,72762,Reutlingen,Konrad-Adenauer-Straße 32,
Esso-Tankstelle,73230,Kirchheim unter Teck,Schlierbacher Str. 71,Shop
Esso-Tankstelle,73728,Esslingen am Neckar,Ulmer Str. 83,Shop
Esso-Tankstelle,76744,Wörth am Rhein,Bahnhofstraße 42,
Esso-Tankstelle,76829,Landau,Westbahnstr. 1,Shop
Esso-Tankstelle,77694,Kehl,Straßburgerstr. 20,
Esso-Tankstelle,78166,Donaueschingen,Dürrheimer Straße 28,
Esso-Tankstelle,78224,Singen,Radolfzellerstraße 28,
Esso-Tankstelle,79114,Freiburg,Sundgauallee 25 Süd,Shop
Esso-Tankstelle,79395,Neuenburg am Rhein,Westtangente 2,
Esso-Tankstelle,80686,München,Westendstr. 183,Shop
Esso-Tankstelle,80802,München,Ungererstr. 54,Shop
Esso-Tankstelle,81369,München,Passauer Str. 20,Shop
Esso-Tankstelle,81671,München,Innsbrucker Ring 52,Shop
Esso-Tankstelle,81925,München,Effner Str. 130,Shop
Esso-Tankstelle,82418,Murnau,Weilheimer Str. 12,Shop
Esso-Tankstelle,85356,Freising,Erdinger Str. 145,Shop
Esso-Tankstelle,85521,Ottobrunn,Rosenheimer Landstr. 73,
Esso-Tankstelle,86152,Augsburg,An der Blauen Kappe 4,Shop
Esso-Tankstelle,86899,Landsberg am Lech,Augsburger Str. 31/53,Shop
Esso-Tankstelle,89231,Neu-Ulm,Ringstr. 122,Shop
Esso-Tankstelle,90408,Nürnberg,Bucher Str. 108,Shop
Esso-Tankstelle,90439,Nürnberg,Gustav-Adolf-Straße 49A,Glasfassade am Zeitungsregal
Esso-Tankstelle,92331,Parsberg,Im Grund 1,Shop
Esso-Tankstelle,97080,Würzburg,Veitshöchheimer Str. 22,Shop
Esso-Tankstelle,97421,Schweinfurt,Landwehr Straße 37,
Esso-Tankstelle,99334,Ichtershausen,Thöreyer Str. 4,Shop
Esso-Tankstelle ,20535,Hamburg,Sievekingsallee 75,Shop
Esso-Tankstelle ,33330,Gütersloh,Nordring 100,Shop
Esso-Tankstelle ,48161,Münster,Am Rohrbusch 32,Shop
Esso-Tankstelle ,48268,Greven,Königstr. 32,Outdoor Büro / GAA im Pächterbüro
Esso-Tankstelle ,58455,Witten,Dortmunder Str. 8,Shop
Europapassage,20095,Hamburg,Ballindamm 40,Wandeinbau separater Raum
famila-Markt,17389,Anklam,Silostr. 2,Mall neben Handyshop
famila-Markt,18528,Bergen,Nonnenseestr. 1,Windfang neben Inselkarte
famila-Markt,19348,Perleberg,Schwarzer Weg 11,Mall neben der Info
famila-Markt,23554,Lübeck,Schwartauer Landstr. 4,Mall neben Takko
famila-Markt,23566,Lübeck,Wesloer Landstr. 50 - 70,Eingangsbereich
famila-Markt,23569,Lübeck,Möllerung 11 - 13,Mall gegenüber Eingang
famila-Markt,23611,Sereetz,Sereetzer Feld 1,Eingangsbereich
famila-Markt,23843,Bad Oldesloe,Lily-Braun-Str. 24-28,Eingangsbereich
famila-Markt,24109,Kiel,Kurt-Schumacher-Platz 4,
famila-Markt,24113,Kiel,Seekoppelweg 2,Mall
famila-Markt,24147,Kiel,Preetzer Str. 298,Mall
famila-Markt,24387,Schleswig,Friedrich-Ebert-Str. 3,Eingangsbereich - hinter dem Windfang
famila-Markt,24536,Neumünster,Hauptstr. 43,Mall gegenüber Kasse 1
famila-Markt,25524,Itzehoe,Vor dem Delftor,Mall
famila-Markt,25746,Heide,Fritz-Thiedemann-Ring 40,links neben Portamat
famila-Markt,27356,Rotenburg (Wümme),Auf dem Rusch 1,Eingangsbereich neben Bäckerei
famila-Markt,30851,Langenhagen,Hans-Böckler-Str. 60-66,auf der Mall
Finanz-Center,08058,Zwickau,Innere Plauensche Str. 22,Finanz-Center
Forum,63450,Hanau,Freiheitsplatz,UG - auf der Mall
Forum,63450,Hanau,Freiheitsplatz,EG  - gegenüber H&M
Forum Wetzlar,35576,Wetzlar,Am Forum 1,Mall
Fronhofer Galeria,53177,Bonn,Am Fronhof 9,Mall links vom Nebeneingang
Gemeinde,97250,Erlabrunn,Würzburger Straße 36,
Geschäftshaus,53840,Troisdorf-Altenrath,Heidegraben 4,
Gesundbrunnen-Center,13357,Berlin,Badstr. 4,Indoor Eingangsbereich
Gesundheits-Center,45149,Essen,Fulerumer Straße 225,Wandeinbau separater Raum.
Globus Handelshof,63477,Maintal,Industriestraße 6,Auf der Mall.
Gropius Passagen,12351,Berlin,Johannisthaler Chaussee 317,Auf der Mall.
Hagebau Baumarkt,80809,München,Lerchenauer Str. 134,Im Eingangsbereich
Hagebau Baumarkt,81379,München,Hofmannstraße 4-10,Im Eingangsbereich
Hagebau Baumarkt,82008,Unterhaching,Grünwalder Weg 33,Eingangsbereich
Hagebau Baumarkt,82319,Starnberg,Gautinger Straße 41,Im Windfang
Hagebau Baumarkt,82377,Penzberg,Zibetholzweg 1,Im Eingangsbereich hinter dem Windfang.
Halle Center Peißen,06188,Landsberg,Saarbrücker Str. 1,nähe real
Halle Center Peißen,06188,Landsberg,Saarbrücker Str. 1,"nähe ""ex""- Praktiker"
HEM-Autohof,28816,Stuhr,Bremer Str. 112,Shop links neben Tür
HEM-Tankstelle,13089,Berlin,Romain-Rolland-Str. 2 - 4,Shop rechts neben Tür
HEM-Tankstelle,14772,Brandenburg,Rathenower Landstraße,Shop rechts neben Tür
HEM-Tankstelle,68305,Mannheim,Waldstr. 172,Shop rechts neben Tür
Hit,85599,Parsdorf,Am Lerchenfeld 3,
Hit Markt,51491,Overath,Olper Str. 20,
Hit Markt,54550,Daun,Bahnhofstraße 3,
Hit Markt,56727,Mayen,Hausener Str. 2 - 6,Mall im Eingangsbereich
Hit Markt,60598,Frankfurt am Main,Mörfelder Landstr. 129,neben Fahrstuhl
Hit Markt,63069,Offenbach,Sprendlinger Landstr. 140,Indoor gegenüber Info
Hit Markt,65510,Idstein,Wiesbadener Str. 58 ,neben Toto Lotto
Hit Markt,85435,Erding,Rudolf-Diesel-Str. 4,
Holstein Center,25524,Itzehoe,Feldschmiedekamp 4,Mietfläche an Mall
IFA Insel Ferien Anlagen GmbH & Co. KG,08261,Schöneck,Hohe Reuth 5,Gegenüber Rezeption Indoor
ING-DiBa,30659,Hannover,Podbielskistr. 343,Keller Hannover
ING-DiBa,30659,Hannover,Podbielskistr. 343,ING-DiBa Pylon
ING-DiBa,60486,Frankfurt am Main,Theodor-Heuss-Allee 2,Outdoor im Eingangsbereich
ING-DiBa,90449,Nürnberg,Südwestpark 97,Poststelle separater Raum
KaDeWe,10789,Berlin,Tauentzienstraße 21 - 24,EG
KaDeWe,10789,Berlin,Tauentzienstraße 21,2.OG
KaDeWe,10789,Berlin,Tauentzienstraße 21,6.OG
KaDeWe,10789,Berlin,Tauentzienstraße 21,3.OG
Kaiser‘s,12107,Berlin,Großbeerenstr. 54,Indoor Eingangsbereich
Karstadt,01069,Dresden,Pragerstraße 12,EG Ausgang Altmarkt
Karstadt,10627,Berlin,Wilmersdorfer Straße 118,
Karstadt,10719,Berlin,Kurfürstendamm 231,
Karstadt,10967,Berlin,Hermannplatz ,1. OG neben Treppenhaus Schmuckabt.
Karstadt,12163,Berlin,Schloßstraße 7 - 10,
Karstadt,13353,Berlin,Müllerstraße 25,
Karstadt,14467,Potsdam,Brandenburgerstr. 49/52,EG neben Rolltreppe
Karstadt,20095,Hamburg,Mönckebergstr. 16,2.OG Sporthaus
Karstadt,20095,Hamburg,Mönckebergstr. 16,outdoor links
Karstadt,20095,Hamburg,Mönckebergstr. 16,outdoor rechts
Karstadt,20354,Hamburg,Am Jungfernstieg 16-20,
Karstadt,21073,Hamburg,Schloßmühlendamm 2,
Karstadt,22041,Hamburg,Wandsbeker Markstr. 63-65,outdoor
Karstadt,23552,Lübeck,Königstraße 54,
Karstadt,24103,Kiel,Sophienblatt 2,
Karstadt,27568,Bremerhaven,Bürgermeister-Smidt-Str. 50-64,EG
Karstadt,28195,Bremen,Obernstraße 5-33,2.OG Lloydtreppe
Karstadt,28195,Bremen,Obernstraße 5-33,outdoor
Karstadt,30159,Hannover,Georgstr. 23,Outdoor
Karstadt,35390,Gießen,Seltersweg 64,2.OG
Karstadt,38100,Braunschweig,Schuhstr. 29-34,outdoor
Karstadt,40212,Düsseldorf,Schadowstraße 93,2.OG
Karstadt,41236,Mönchengladbach,Markt 10,outdoor
Karstadt,44137,Dortmund,Westenhellweg 30-36,EG Eingang Haupthaus
Karstadt,44137,Dortmund,Westenhellweg 30-36,EG im Reisebüro
Karstadt,44791,Bochum,Ruhrpark,EG neben der Rolltreppe
Karstadt,45127,Essen,Limbecker Platz 1A,neben KQFS-Center 2
Karstadt,45133,Essen,Theodor-Althoff-Straße 2,
Karstadt,45472,Mülheim,Humboldtring 5,outdoor
Karstadt,48143,Münster,Salzstraße 47 - 50,outdoor
Karstadt,50667,Köln,Breite Straße 103 - 135,outdoor
Karstadt,53111,Bonn,Poststraße 23,EG
Karstadt,54290,Trier,Simeonstr. 46,EG Eingang Moselstraße
Karstadt,57072,Siegen,Kölnerstraße 41,Ausgang Parkdeck C
Karstadt,60313,Frankfurt am Main,Zeil 90,EG Eckeingang Zeil im Windfang
Karstadt,60313,Frankfurt am Main,Zeil 90,EG Haupteingang Zeil Strumpfabt.
Karstadt,64283,Darmstadt,Elisabethenstraße 15,outdoor Passage LuisenCenter
Karstadt,65549,Limburg,Werner-Senger-Straße 15-17,GAA durch die Wand / Outdoor zur Fußgängerzone
Karstadt,65843,Sulzbach,Main-Taunus-Zentrum,
Karstadt,66111,Saarbrücken,Bahnhofstraße 15,EG nähe Rolltreppe
Karstadt,68519,Viernheim,Robert-Schumann-Str. 2,EG
Karstadt,76133,Karlsruhe,Kaiserstraße 147-159,EG Kaiser/Lammstr. Windfang
Karstadt,78224,Singen,Bahnhofstraße 19-21,EG neben den Fahrstühlen
Karstadt,79098,Freiburg,Kaiser-Joseph-Str. 165,EG Eingang Nußbaumstraße
Karstadt,80335,München,Bahnhofsplatz 7,EG
Karstadt,80797,München,Schleißheimer Str. 93,UG
Karstadt,86150,Augsburg,Bürgermeister-Fischer-Str. 6-10,outdoor
Karstadt,87700,Memmingen,Königsgraben 3,UG
Karstadt,90402,Nürnberg,Königstraße 14,EG
Karstadt,96047,Bamberg,Grüner Markt 23,Durch die Wand / Outdoor zur Fußgängerzone
Karstadt,99084,Erfurt,Am Anger 1-3,indoor
Karstadt Gewandhaus,38100,Braunschweig,Poststraße 4 - 5,outdoor
Kaufland,01139,Dresden,Peschelstr. 33,Eingangsbereich
Kaufland,01309,Dresden-Striesen,Borsbergstr. 35,Eingangsbereich hinter dem Windfang
Kaufland,01445,Radebeul,Weintraubenstr. 31,auf der Mall
Kaufland,01640,Coswig,Salzstraße 16a,auf der Mall bei den Fahrstühlen
Kaufland,01662,Meißen,Schützestraße 1,
Kaufland,01917,Kamenz,An der Windmühle 2,Windfang
Kaufland,01917,Kamenz,Willi-Muhle-Straße 25,
Kaufland,02625,Bautzen,Gesundbrunnenring 62,auf der Mall
Kaufland,02708,Löbau,Rumburger Str. 9,
Kaufland,02763,Zittau,Christian-Kaimann-Str. 44,Eingangsbereich neben Info
Kaufland,02763,Zittau,Äußere Weberstraße 87,hinter dem Windfang
Kaufland,03044,Cottbus,Sielower Chaussee 38,Mall
Kaufland,03172,Guben,Kaltenborner Straße 68,Nische linke Seite hinter dem Windfang
Kaufland,03222,Lübbenau,Am Kaufland 2,Mall
Kaufland,04159,Leipzig,Georg-Schumann-Str. 290,hinter dem Windfang links auf der Mall
Kaufland,04249,Leipzig,Anton-Zickmantel-Straße 42,auf der Mall
Kaufland,04509,Delitzsch,Sachsenstr. 1,Wandeinbau separater Raum
Kaufland,04600,Altenburg,Käthe-Kollwitz-Str. 43,Wandeinbau separater Raum
Kaufland,04720,Döbeln,Schillerstraße 6,im Eingangsbereich
Kaufland,06128,Halle (Saale),Südstadtring 90,Mall serarater Raum
Kaufland,06712,Zeitz,Hainichener Dorfstraße 1,auf der Mall
Kaufland,06886,Lutherstadt Wittenberg,Lerchenbergstraße 112 - 113,hinter dem Windfang
Kaufland,08288,Rodewisch,Zur Sternkoppel 1,Eingangsbereich / Indoor
Kaufland,09405,Zschopau,Chemnitzer Str. 124,Mall neben Blumenladen
Kaufland,12103,Berlin,Schöneberger Str. 7,linke Seite hinter dem Windfang
Kaufland,12555,Berlin,Friedrichshagener Str.37-43,Mall
Kaufland,13355,Berlin,Brunnenstraße 106,
Kaufland,13593,Berlin,Wilhelmsstraße 21 - 25,Durch die Wand zum Parkplatz
Kaufland,14471,Potsdam,Zeppelinstr. 132,Wandeinbau separater Raum
Kaufland,15234,Frankfurt/Oder,Josef-Gesing-Str. 6,Mall Indoor
Kaufland,15517,Fürstenwalde,Alte Langewahler Chaussee 11,auf der Mall
Kaufland,15537,Erkner,Friedrichstr. 13,auf der Mall
Kaufland,15890,Eisenhüttenstadt,Fährstr. 35,Eingansbereich gegenüber Eingang
Kaufland,16225,Eberswalde,Angermünder Str. 55,
Kaufland,16909,Wittstock,Meyenburger Chaussee 36,auf der Mall links hinter dem Windfang
Kaufland,17235,Neustrelitz,Strelitzer Straße 24,Auf der Mall
Kaufland,24109,Kiel - Mettendorf,Skandinaviendamm 299,Aussenfassade zum Parkplatz
Kaufland,29664,Walsrode,Heinrich-Hertz-Str. 9,Eingangsbereich
Kaufland,31061,Alfeld,Sedanstraße 16 - 18,auf der Mall
Kaufland,31228,Peine,Heinrich-hertz-Str. 12,
Kaufland,32423,Minden,Lindenstraße 24 / Obermarktpassage,
Kaufland,33102,Paderborn,Riemekestraße 37,Eingangsbereich hinter dem Windfang
Kaufland,33378,Rheda-Wiedenbrück,Bahnhofstraße 36,
Kaufland,37327,Leinefelde-Worbis,Bahnhofstr. 48,Eingangsbereich
Kaufland,37603,Holzminden,Bülte 4,Mall - links neben der Apotheke
Kaufland,41515,Grevenbroich,Ostwall 31,
Kaufland,42551,Velbert,Friedrichstraße 262,
Kaufland,42719,Solingen,Stresemannstr. 37,
Kaufland,42859,Remscheid,Presover Straße 20,
Kaufland,44145,Dortmund,Bornstr. 160,
Kaufland,44287,Dortmund,Aplerbecker Marktplatz 7 - 10,"Wandeinbau separater Raum
aum"
Kaufland,44534,Lünen,Merschstr. 19,Mall gegenüber der Treppe
Kaufland,44892,Bochum,Ümminger Str. 90,Outdoor separater Raum
Kaufland,45329,Essen,Altenessener Straße 411,
Kaufland,45355,Essen-Borbeck,Gerichtstraße 25,Auf der Mall
Kaufland,45768,Marl,Marler Stern 57,Eingangsbereich hinter dem Windfang
Kaufland,45770,Marl,Lipper Weg 4,
Kaufland,46145,Oberhausen,Bahnhofstraße 57,Eingangsbereich hinter dem Windfang
Kaufland,47059,Duisburg,Auf der Höhe 20,links neben Personaleingang
Kaufland,47119,Duisburg,Friedrich-Ebert-Str. 2,Auf der Mall beim Eingang Parkhaus
Kaufland,47166,Duisburg - Alt Hamborn,Duisburger Straße 303,hinter dem Windfang auf der Mall
Kaufland,47475,Kamp-Lintfort,Moerser Straße 290,Mall - bei den Einkaufswagen
Kaufland,48282,Emsdetten,Katthagen 6 - 8,
Kaufland,49525,Lengerich,Ringeler Straße 24 - 26,
Kaufland,50171,Kerpen,Sindorfer Str. 65 - 69,Eingangsbereich
Kaufland,50259,Pulheim,Farehamstr./Venloer Str.,Mall vor der ersten Säule
Kaufland,50823,Köln,Thebäerstraße 9,Im Eingangsbereich
Kaufland,53489,Sinzig,Industriestraße 10,Wandeinbau separater Raum
Kaufland,53721,Siegburg,Wilhelm-Ostwald-Straße F1,hinter dem Windfang
Kaufland,54329,Konz,Saar-Mosel-Platz 2,Eingangsbereich
Kaufland,55543,Bad Kreuznach,Schwabenheimer Weg 5,Nische auf der Mall hinter dem Windfang
Kaufland,56170,Bendorf,Hauptstraße 131,
Kaufland,56564,Neuwied,Heddesdorfer Str. 11,Mall
Kaufland,56727,Mayen,Koblenzer Straße 176,hinter dem Windfang
Kaufland,57072,Siegen,Hagener Straße 133,Auf der Mall neben Fotofix.
Kaufland,57223,Kreuztal,Marburger Str. 41,
Kaufland,57462,Olpe,Martinstr. 36,Mall
Kaufland,58285,Gevelsberg,Großer Markt 7,auf der Mall neben den Rolltreppen
Kaufland,59229,Ahlen,Kleiwellenfeld 16,
Kaufland,59457,Werl,Soester Straße 26,
Kaufland,60386,Frankfurt am Main,Wächtersbacherstraße 75,Im Windfang links neben dem Eingang
Kaufland,61231,Bad Nauheim,Ketteler Str. 10,
Kaufland,63322,Rödermark,Ober-Rodener-Straße 13,
Kaufland,64807,Dieburg,Im Flürchen 3,Eingangsbereich neben Tür
Kaufland,66292,Riegelsberg,Saarbrücker Straße 262,Wandeinbau separater Raum
Kaufland,66822,Lebach,Poststr. 9,Indoor
Kaufland,67346,Speyer,Auestr. 22,Mall
Kaufland,67547,Worms,Mainzerstraße 150,Eingangsbereich rechts hinter dem Windfang
Kaufland,68169,Mannheim,Maybachstr. 28,Eingangsbereich
Kaufland,69221,Dossenheim,Gewerbestr. 19,Mall
Kaufland,70736,Fellbach,Merowinger Str. 5,neben Toto Lotto
Kaufland,71063,Sindelfingen,Calwer Str. 4,Wandeinbau separater Raum
Kaufland,71065,Sindelfingen,,
Kaufland,71522,Backnang,Sulzbacher Str. 201,hinter dem Windfang
Kaufland,71522,Backnang,Industriestraße 34,Wandeinbau Eingangsbereich
Kaufland,72250,Freudenstadt,Max-Eyth-Str. 14,Eingangsbereich
Kaufland,72379,Hechingen,Kaullastraße 1,
Kaufland,72488,Sigmaringen,Georg-Zimmerer-Str. 15,Mall
Kaufland,72622,Nürtingen,Europastr. 7,Windfang
Kaufland,73033,Göppingen,Stuttgarter Str. 2,
Kaufland,73066,Uhingen,Bleichereistraße 54,
Kaufland,73312,Geislingen an der Steige,Neuwiesenstraße 25,
Kaufland,73527,Schwäbisch-Gmünd,Hauptstraße 6,
Kaufland,74321,Bietigheim,Prinz-Eugen-Str. 10,Windfang
Kaufland,76532,Baden-Baden,Rheinstraße 134,Auf der Mall neben Lotto.
Kaufland,78713,Schramberg,Bahnhofstraße 30,Wandeinbau Mall
Kaufland,79106,Freiburg,Waldkircher Str. 57,Mall
Kaufland,82538,Geretsried,Bayerwaldstraße 2,Im Eingangsbereich.
Kaufland,83026,Rosenheim,Außere Münchener Straße 100,
Kaufland,83043,Bad Aibling,Grassinger Straße 16,links neben dem Drehkreuz
Kaufland,83278,Traunstein,Theresienstr. 2,auf der Mall
Kaufland,83395,Freilassing,Verdistraße 15,Rechts hinter dem Windfang. Mit der Rückseite an die Wand links neben der Tür.
Kaufland,84130,Dingolfing,Frontenhausener Str. 1,Mall
Kaufland,84307,Eggenfelden,Lindhofstraße 10,
Kaufland,84489,Burghausen,Lindach 10,
Kaufland,85221,Dachau,Danziger Str. 1,Eingangsbereich
Kaufland,85276,Pfaffenhofen a.d. Ilm,Joseph-Fraunhofer-Straße 31,Hinter dem Windfang rechts.
Kaufland,85276,Pfaffenhofen,Max-Weinberger-Straße 9,Im Windfang
Kaufland,85368,Moosburg,Degernpoint M1,
Kaufland,88348,Bad Saulgau,Am Schlehenrain 1,Eingangsbereich neben Bäcker
Kaufland,88400,Biberach an der Riss,Obere Stegwiesen 10,Auf der Mall
Kaufland,88471,Laupheim,Ulmer Straße 13,
Kaufland,89155,Erbach,Heinrich-Hammer-Str. 6,Wandeinbau separater Raum
Kaufland,89231,Neu-Ulm,Memminger Straße 54,Neben der Rolltreppe.
Kaufland,89407,Dillingen,Johannes-Scheiffele-Str. 3-7,gegenüber Rolltreppe - neben Aufzug zum Parkdeck
Kaufland,89518,Heidenheim,Wilhelmstraße 148,auf der Mall
Kaufland,90439,Nürnberg,Schwabacher Straße 99,Im Windfang
Kaufland,90443,Nürnberg,Dianaplatz 23- 25,Mall
Kaufland,90473,Nürnberg,Oppelner Str. 223,auf der Mall bei den Aufzügen
Kaufland,90522,Oberasbach,Rothenburger Straße 70,Im Eingangsbereich
Kaufland,91315,Höchstadt,Rothenburger Str. 19,auf der Mall - neben dem Kassenbereich
Kaufland,92318,Neumarkt,Altdorfer Straße 63,hinterm Windfang
Kaufland,92637,Weiden,Untere Bauscher Str. 25,Mall
Kaufland,93333,Neustadt a.d.Donau,Gewerpepark 48,Eingangsbereich
Kaufland,94036,Passau,Neuburger Str. 128,Eingangsbereich
Kaufland,94051,Hauzenberg,Florianstraße 1,Auf der Mall an der Rolltreppe.
Kaufland,94060,Pocking,Passauer Straße 160,auf der Mall
Kaufland,95032,Hof,Hans-Böckler-Straße 19,"Eingangsbreich, hinter dem Windfang"
Kaufland,95448,Bayreuth,Weiherstr. 27,Mall neben Takko
Kaufland,96515,Sonneberg,Bettelhecker Straße 155,
Kaufland,97688,Bad Kissingen,Steubenstr. 1,rechts im Windfang
Kaufland,99510,Apolda,Bernhard-Prager-Gasse 1 - 7,neben Lotto
Kaufland ,91257,Pegnitz,Nürnberger Straße 22,
KaufMarkt,12683,Berlin,Weißenhöher Str. 88 - 108,Mall ( im Kaufmarkt )
KaufMarkt,14624,Dallgow-Döberitz,Döberitzer Weg 3,Indoor neben Kaufmarkt
KaufPark Eiche,16356,Ahrensfelde,Landsberger Chaussee 17,Eingangsbereich Indoor
Königsbau Passagen,70173,Stuttgart,Königstraße 26,Eingangsbereich
Konzernforum Lindencorso,10117,Berlin,Unter den Linden 21,"Wandeinbau ""Tapetentür"""
Kurpfalz Center,68309,Mannheim,Spreewaldallee 44 - 50,Auf der Mall
Kurverwaltung,27632,Dorum,Am Kutterhafen 3,Outdoor neben Bushaltestelle
Landesmesse Stuttgart,70629,Stuttgart,"Flughafenrandstr., Eingang West - Halle 8",Halle 6
Landesmesse Stuttgart,70629,Stuttgart,Flughafenrandstr. 43,Eingang Ost - Atrium
Landesmesse Stuttgart,70629,Stuttgart,"Flughafenrandstr., Mittlerer Höhensprung",Mittlerer Höhensprung neben Eingang Halle 5
Linden Center,13051,Berlin,Prerower Platz 1,neben Nordsee
Löhr Center,56068,Koblenz,Hohenfelder Straße 22,2.OG
Markant,18435,Stralsund,Hans-Fallada-Straße 1,
Markant,23936,Grevesmühlen,Gebhartstraße 4,
Markant,24116,Kiel,Alte Weide 4,
Markant-Markt,23970,Wismar,Professor-Frege-Straße 45,Auf der Mall beim Tabakladen
Markant-Markt,24148,Kiel,Philipp-Reis-Weg 2,Eingang Durchgang zum Getränkemarkt
Markant-Markt,24217,Schönberg,Eichkamp 9,Hinter dem Windfang rechts.
Markant-Markt,24451,Quickborn,Feldbehnstr. 35,Neben dem Leergutautomaten.
Marktkauf,31515,Wunstorf,Hagenburger Straße 20,Im Eingangsbereich neben der Leergut-Annahme.
Marktplatzcenter,17033,Neubrandenburg,Krämerstraße 1,Foyer UG in einer Nische
Marriott Hotel,10785,Berlin,Inge-Beisheim-Platz 1,
Marriott Hotel,60486,Frankfurt am Main,Hamburger Allee 2 - 10,Indoor neben Business Center
Marstall-Center,71634,Ludwigsburg,Marstall 1,
Media Markt,01069,Dresden,Prager Straße 15,UG
Media Markt,03051,Cottbus,Am Seegraben 20 C,
Media Markt,07747,Jena,Stadtrodaer Str. 105,
Media Markt,08058,Zwickau,Franz-Mehring-Str. 169,
Media Markt,08393,Meerane,Guteborner Allee 1,
Media Markt,08527,Plauen,Dürerstr. 28,
Media Markt,12043,Berlin,Karl-Marx-Str. 66,
Media Markt,12529,Schönefeld,Am Rondell 3,Im Windfang
Media Markt,13357,Berlin,Pankstr. 32 - 39,
Media Markt,13507,Berlin,Am Borsigturm 2,Im Eingangsbereich
Media Markt,13597,Berlin,An den Freiheitswiesen 5,
Media Markt,17491,Greifswald,Anklamer Landstraße 1,
Media Markt,18055,Rostock,Timmermannstrat 11 a,
Media Markt,18437,Stralsund,Grünhufer Bogen 13 - 17,
Media Markt,19053,Schwerin,Marienplatz 5 - 7,
Media Markt,21339,Lüneburg,Lüner Rennbahn 4,
Media Markt,21614,Buxtehude,Lüneburger Schanze 17,
Media Markt,21682,Stade,Haddorfer Grenzweg 2a,
Media Markt,22047,Hamburg-Wandsbek,Friedrich-Ebert-Damm 110,
Media Markt,22339,Hamburg,Poppenbütteler Weg 31,an den Rolltreppen
Media Markt,22529,Hamburg,Nedderfeld 70,1.OG
Media Markt,22765,Hamburg,Paul-Nevermann-Platz 15,1. OG Bahnhof Altona
Media Markt,24558,Henstedt-Ulzburg,Kirchweg 88,
Media Markt,25469,Halstenbek,Gärtnerstr. 169,Windfang
Media Markt,25746,Heide,Schanzenstr. 11 / Gewerbegebiet Ost,
Media Markt,26129,Oldenburg,Posthalterweg 15,
Media Markt,26871,Papenburg,An der Alten Werft 13,
Media Markt,27755,Delmenhorst,Seestraße 7,
Media Markt,28237,Bremen,AG-Weser-Straße 3,EKZ Waterfront
Media Markt,28307,Bremen,Hans-Bredow-Str. 19,Weserpark
Media Markt,28816,Stuhr,Drei-K-Weg 25a,
Media Markt,30519,Hannover,Hildesheimer Str. 410,Eingangsbereich bei der Info
Media Markt,31135,Hildesheim,Bavenstedter Str. 65,Eingangsbereich
Media Markt,31582,Nienburg,Schlossplatz 5,Im Eingangsbereich
Media Markt,31789,Hameln,Böcklerstr. 5,
Media Markt,32457,Porta Westfalica,Feldstr. 32,
Media Markt,33330,Gütersloh,Vennstr. 40,
Media Markt,35037,Marburg,Erlenring 19,
Media Markt,37075,Göttingen,Hannoversche Str. 53 c,1.OG
Media Markt,38100,Braunschweig,Hintern Brüdern 27 - 30,
Media Markt,38820,Halberstadt,Quedlinburger Landstraße 12,Windfang
Media Markt,39128,Magdeburg,Am Pfahlberg 7,
Media Markt,40217,Düsseldorf,Friedrichstr. 129 - 133,Service Center
Media Markt,40235,Düsseldorf,Metrostr. 16,Eingangsbereich
Media Markt,41065,Mönchengladbach,Breitenbachstr. 50,
Media Markt,41464,Neuss,Konrad-Adenauer-Ring 95,Kassenbereich
Media Markt,42103,Wuppertal,Friedrich-Engels-Allee 34,
Media Markt,42551,Velbert,Friedrichstr. 303,
Media Markt,44579,Castrop-Rauxel,Siemensstr. 16,
Media Markt,44791,Bochum,Am Einkaufszentrum EKZ Ruhrpark,
Media Markt,44809,Bochum,Hofsteder Str. 194 - 196,
Media Markt,45475,Mülheim,"Mannesmannallee 31, EKZ Dümpten",
Media Markt,47169,Duisburg,August-Bebel-Platz 20,
Media Markt,47269,Duisburg,Keniastr. 37,
Media Markt,50858,Köln,Max-Planck-Str. 24,
Media Markt,51103,Köln,Vietorstr. 7,1.OG Köln Arcaden
Media Markt,52064,Aachen,Franzstr. 6,
Media Markt,52249,Eschweiler,Auerbachstr. 30,
Media Markt,55543,Bad Kreuznach,Wöllsteiner Str. 10,
Media Markt,55743,Idar-Oberstein,John-F.-Kennedy-Str. 1,
Media Markt,57076,Siegen,Hauptmarkt 1,
